date.run,prey,trial.no,bin.no,crab.no,initial.count,initial.weight,final.count,final.weight,num.fully.eaten,num.attacked,sum.weight.consumed,collected.by,notes
26-Nov-21,dire.whelk,A-7,2,NA,NA,NA,NA,NA,NA,NA,NA,MY,
26-Nov-21,dire.whelk,A-7,4,NA,NA,NA,NA,NA,NA,NA,NA,MY,
26-Nov-21,dire.whelk,A-7,6,EGC-03,2,4.7,2,4.7,0,0,0,MY,
26-Nov-21,dire.whelk,A-7,8,GRA-Sm34,2,3.6,2,3.6,0,0,0,MY,
26-Nov-21,dire.whelk,A-7,10,GRA-Sm27,2,4.7,2,4.7,0,0,0,MY,
02-Dec-21,dire.whelk,A-8,2,NA,NA,NA,NA,NA,NA,NA,NA,MY,
02-Dec-21,dire.whelk,A-8,4,EGC-22,2,3.1,2,3.1,0,0,0,MY,
02-Dec-21,dire.whelk,A-8,6,EGC-01,2,4,2,4,0,0,0,MY,
02-Dec-21,dire.whelk,A-8,8,EGC-13,2,4.9,2,4.7,0,0,0.2,MY,"both were on side of the bin, out of reach"
02-Dec-21,dire.whelk,A-8,10,NA,NA,NA,NA,NA,NA,NA,NA,MY,
27-Nov-21,dire.whelk,B-7,2,NA,NA,NA,NA,NA,NA,NA,NA,MY/LV,
27-Nov-21,dire.whelk,B-7,4,EGC-23,2,5.2,2,5.2,0,0,0,MY/LV,
27-Nov-21,dire.whelk,B-7,6,EGC-10,2,4.7,2,4.7,0,0,0,MY/LV,
27-Nov-21,dire.whelk,B-7,8,EGC-24,2,5.1,2,5.1,0,0,0,MY/LV,
27-Nov-21,dire.whelk,B-7,10,GRA-Sm16,2,4,2,4,0,0,0,MY/LV,
03-Dec-21,dire.whelk,B-8,2,GRA-Lg26,2,3.9,2,3.9,0,0,0,CW/MY,
03-Dec-21,dire.whelk,B-8,4,NA,NA,NA,NA,NA,NA,NA,NA,CW/MY,
03-Dec-21,dire.whelk,B-8,6,EGC-04,2,4.4,2,4.4,0,0,0,CW/MY,
03-Dec-21,dire.whelk,B-8,8,EGC-19,2,3.2,2,3.2,0,0,0,CW/MY,
03-Dec-21,dire.whelk,B-8,10,NA,NA,NA,NA,NA,NA,NA,NA,CW/MY,
28-Nov-21,dire.whelk,C-7,2,GRA-Lg32,2,2.5,2,2.5,0,0,0,LV/LV,
28-Nov-21,dire.whelk,C-7,4,EGC-34,2,4.4,2,4.4,0,0,0,LV/LV,
28-Nov-21,dire.whelk,C-7,6,EGC-16,2,3.5,2,3.5,0,0,0,LV/LV,
28-Nov-21,dire.whelk,C-7,8,EGC-32,2,5,2,5,0,0,0,LV/LV,
28-Nov-21,dire.whelk,C-7,10,EGC-40,2,5.4,2,5.4,0,0,0,LV/LV,
04-Dec-21,dire.whelk,C-8,2,EGC-39,2,4.8,2,4.8,0,0,0,MY/AP,
04-Dec-21,dire.whelk,C-8,4,NA,NA,NA,NA,NA,NA,NA,NA,MY/AP,
04-Dec-21,dire.whelk,C-8,6,EGC-15,2,5.5,2,5.5,0,0,0,MY/AP,
04-Dec-21,dire.whelk,C-8,8,EGC-41,2,3.8,2,3.8,0,0,0,MY/AP,
04-Dec-21,dire.whelk,C-8,10,NA,NA,NA,NA,NA,NA,NA,NA,MY/AP,
30-Oct-21,dire.whelk,D-2,2,GRA-Lg11,1,3.7,1,3.7,0,0,0,BH,
30-Oct-21,dire.whelk,D-2,4,GRA-Lg15,1,3.9,1,3.9,0,0,0,BH,
30-Oct-21,dire.whelk,D-2,6,EGC-12,1,2.5,1,2.5,0,0,0,BH,
30-Oct-21,dire.whelk,D-2,8,GRA-Sm22,1,3.4,1,3.4,0,0,0,BH,
30-Oct-21,dire.whelk,D-2,10,GRA-Sm20,1,2.5,1,2.5,0,0,0,BH,
05-Nov-21,dire.whelk,D-3,2,GRA-Lg06,2,5.7,2,5.7,0,0,0,CW/MY,
05-Nov-21,dire.whelk,D-3,4,GRA-Lg25,2,4.8,2,4.8,0,0,0,CW/MY,
05-Nov-21,dire.whelk,D-3,6,GRA-Lg27,2,5.4,2,5.4,0,0,0,CW/MY,
05-Nov-21,dire.whelk,D-3,8,EGC-42,2,6,2,6,0,1,0,CW/MY,
05-Nov-21,dire.whelk,D-3,10,GRA-Sm17,2,4.9,2,4.9,0,0,0,CW/MY,
31-Oct-21,dire.whelk,E-2,2,EGC-08,2,3.5,1,1.3,1,0,2.2,BH/MY,
31-Oct-21,dire.whelk,E-2,4,EGC-11,2,3.3,2,3.3,0,0,0,BH/MY,
31-Oct-21,dire.whelk,E-2,6,GRA-Sm25,2,3.1,2,3.1,0,0,0,BH/MY,
31-Oct-21,dire.whelk,E-2,8,GRA-Sm10,2,3.1,2,3.1,0,0,0,BH/MY,
31-Oct-21,dire.whelk,E-2,10,GRA-Sm19,2,2.5,2,2.5,0,0,0,BH/MY,
06-Nov-21,dire.whelk,E-3,2,EGC-05,2,5.2,2,5.2,0,0,0,MY/AP/LV,
06-Nov-21,dire.whelk,E-3,4,EGC-09,2,5,2,5,0,0,0,MY/AP/LV,
06-Nov-21,dire.whelk,E-3,6,GRA-Sm03,2,3.4,2,3.4,0,0,0,MY/AP/LV,
06-Nov-21,dire.whelk,E-3,8,GRA-Sm06,2,4.5,2,4.5,0,0,0,MY/AP/LV,
06-Nov-21,dire.whelk,E-3,10,EGC-14,2,3.9,2,3.9,0,0,0,MY/AP/LV,
01-Nov-21,dire.whelk,F-2,2,GRA-Lg03,3,6.5,3,6.5,0,0,0,LV/MY,
01-Nov-21,dire.whelk,F-2,4,EGC-02,3,6.2,3,6.2,0,0,0,LV/MY,
01-Nov-21,dire.whelk,F-2,6,EGC-07,3,6.7,3,6.7,0,0,0,LV/MY,
01-Nov-21,dire.whelk,F-2,8,GRA-Sm05,3,6.8,3,6.8,0,0,0,LV/MY,
01-Nov-21,dire.whelk,F-2,10,GRA-Sm33,3,5.6,3,5.6,0,0,0,LV/MY,
07-Nov-21,dire.whelk,F-3,2,GRA-Lg24,2,3.1,2,3.1,0,0,0,LV/AP,
07-Nov-21,dire.whelk,F-3,4,GRA-Lg19,2,3.7,2,3.7,0,0,0,LV/AP,
07-Nov-21,dire.whelk,F-3,6,EGC-06,2,5.7,1,2.1,1,0,3.6,LV/AP,
07-Nov-21,dire.whelk,F-3,8,EGC-18,2,4.5,1,2.5,1,0,2,LV/AP,
07-Nov-21,dire.whelk,F-3,10,GRA-Sm07,2,7,2,7,0,0,0,LV/AP,
